time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1494,4274.892466471398,3866.09054041331,3846.0753164710395,4200.267941744333,4661.736290613936,4475.264001297811,4451.682607660291,4255.986102353681,3723.2814457390737,3779.8795080998634,3788.3446413839383,3630.9274984910307,3754.7867133729687,3850.3947727167456
1495,4268.990722303491,3859.8781319109416,3839.994593462109,4193.978012132877,4655.375274781993,4468.597494598769,4444.81322822843,4250.021675141885,3717.7803563341276,3774.2152356266956,3781.731743493535,3624.132498153935,3749.3345598517258,3844.037175509771
1496,4262.860645885585,3852.987549229225,3833.6496693075806,4186.869572963844,4648.846426024891,4462.252285093925,4438.294293225074,4243.827323147003,3711.7537080058373,3768.4047300376083,3774.6262252395013,3616.860148884164,3742.5216036014726,3837.9668287605386
1497,4256.344554045098,3846.8473560782363,3827.766451389865,4179.977510081948,4642.166577975529,4455.712838301076,4431.330723946247,4237.472254610456,3705.3851838122114,3761.8224226798106,3768.37887245606,3610.8920117532602,3736.3867950826448,3832.0350584320577
1498,4249.2941690670505,3840.446216917416,3821.8384403017644,4173.167463110428,4635.118277239901,4448.283184763859,4425.118667213731,4231.066421608282,3698.881110618312,3755.0748141229515,3762.509830187838,3605.533732744365,3730.682337532203,3826.1339517384567
1499,4242.062360643822,3834.733467330109,3815.3782155848885,4166.836426987701,4628.093729455644,4440.675765705223,4418.628183200508,4224.963780116477,3693.046853178385,3749.081698332644,3756.650643788701,3600.0265393984614,3725.1983542465036,3819.945620375149
1500,4235.969452057342,3829.0396762012274,3808.859588248202,4160.4639144011835,4621.934804975663,4433.561873249303,4411.329251359293,4219.038398503906,3687.2748703351986,3744.1436997153182,3750.822617784428,3593.8754565560416,3719.809171906164,3813.4617002637547
1501,4230.1315157981,3822.6478187652233,3802.660974478788,4154.147851359402,4616.014897299016,4427.259404717241,4404.769968503728,4213.224899320864,3681.758737275042,3738.7815209984014,3744.419544862831,3587.0193536008037,3714.131043400231,3806.8530688977935
1502,4224.054293208048,3816.0491449230303,3796.7445998242683,4147.334814784564,4609.41322467019,4421.067678772131,4398.291486432682,4206.808667665086,3676.0068766401155,3732.085459053577,3737.49522806844,3580.278317037527,3707.8860630669824,3800.7596862650266
1503,4217.196507819021,3809.4569880823815,3790.329851786193,4139.790653236384,4601.984829935794,4414.023138982037,4391.987748987879,4199.871178058632,3669.0030351135,3725.2323470097012,3731.008568507112,3573.987291586055,3701.121647026201,3794.9874852784956
1504,4209.745872265032,3803.1432183264533,3784.203366293049,4132.7449932567115,4594.615996062348,4406.6983811967175,4385.148823584768,4193.18568104032,3662.4306027156567,3718.818836256973,3725.0245948335555,3568.544268002365,3695.230508985698,3789.1961378248207
1505,4202.96013505703,3797.2686822114065,3777.871787797114,4126.352034703604,4588.40380215701,4399.702381626494,4378.094791675353,4187.114696228463,3656.6267089850526,3713.390213696327,3719.280089251587,3562.7243771353396,3689.706143972856,3782.7502908950523
1506,4197.260652411202,3791.2264965106865,3771.9412177945737,4120.518593871699,4582.301032557175,4393.168347561214,4371.611000459799,4181.735784508049,3651.1738560684366,3708.471233291858,3713.1181268259825,3556.476371800052,3684.4151925858014,3776.328508167443
1507,4191.628928876632,3785.0948676186104,3766.1329250023346,4114.354387271604,4576.352522037387,4386.559393597733,4365.348586534232,4176.185606628476,3646.1534566994383,3702.376454790875,3706.6351049531218,3550.0507527011073,3678.8520670352436,3770.498455312512
1508,4185.564052357293,3779.3204321194694,3760.0885810151312,4107.985522997342,4569.6889692108325,4380.135601101034,4358.787516829305,4169.961337675786,3640.3186165141037,3696.416223474832,3700.3130781747686,3544.123051741625,3673.220682654334,3764.6637030433867
1509,4178.500286066974,3772.9367020757504,3753.7970046508253,4100.849916254681,4562.834856398196,4373.121168125347,4352.04996103381,4163.1484300957345,3633.7542259434117,3689.709885817466,3694.4318150991594,3538.3120655812177,3666.928132188253,3758.731597711849
1510,4171.311289069558,3766.9092850900674,3748.001371354253,4094.210200754457,4556.07211480884,4366.010396812398,4345.468207047196,4156.892858980113,3627.051682261224,3684.1787860424583,3688.647816947838,3532.3285710063433,3661.388289895518,3752.3900732667676
1511,4164.900677575646,3760.803830005292,3741.6157380927316,4087.687727590576,4549.467302543236,4358.932385239154,4338.768901851048,4150.911532421977,3621.118718914429,3678.084230747432,3682.9447809141225,3526.3518064735995,3655.8141480191243,3746.131610918456
1512,4159.333131066837,3755.0371777181313,3735.3384476928486,4081.493659996803,4543.124145678309,4352.4887330066795,4332.403820631354,4145.570353403383,3616.533490376499,3672.8071755021842,3677.000650328504,3520.217496959107,3650.4071099490507,3740.024862556541
1513,4153.312436220176,3748.57363920803,3729.269116095897,4074.5721735277193,4536.401519801473,4345.972478819288,4325.698246009577,4138.948666868129,3610.5749010588247,3665.9771692550744,3669.9482333048427,3513.624277386122,3644.0471164797113,3733.5346647775805
1514,4146.569700263975,3741.776746978693,3722.7358435680885,4067.5129988404265,4529.553208078959,4338.7873007781045,4318.953566041371,4132.19932070994,3603.9351676941774,3659.5215431576303,3663.1327327912386,3507.3612291688405,3637.420444308577,3727.564058149971
1515,4139.586556059555,3736.388757369483,3717.0173048957554,4061.5770537697276,4523.438354867381,4332.021192481817,4312.3945010420975,4126.624639645783,3598.1419275264625,3653.9925871356804,3657.810625246965,3502.1988538914447,3632.388749295767,3722.2076504713573
1516,4132.587779990418,3730.199381864197,3710.600797726636,4054.647701246057,4516.874819126155,4325.1184768757685,4305.487293424076,4120.051672781638,3591.414962077778,3647.5270844313395,3651.845076342872,3496.0748311534494,3626.7457267155755,3715.888020078396
1517,4126.799554462633,3723.735578240221,3704.3948513568844,4048.2050843351617,4509.902545535969,4318.6428482263445,4299.273112038777,4114.34947263568,3585.864621245599,3643.4388996371154,3645.931893338667,3489.425797603152,3621.11771532174,3709.4205298905304
1518,4120.862305963045,3716.9872478838743,3698.510426103971,4041.634226278402,4503.303155936706,4311.731977482181,4293.317843012877,4108.442250177698,3580.409682013845,3636.4392999341753,3639.08533649943,3483.33677427446,3614.789419636991,3703.2026047969634
1519,4114.667514985771,3710.869213656492,3692.8327483697417,4034.9555899358725,4496.5057245655735,4304.842943334794,4286.390979198045,4102.076409280607,3574.2184391409423,3630.2267309252657,3632.486729682366,3477.0445315488946,3608.73561652336,3697.168630345554
1520,4108.369061742527,3705.9723764325495,3687.4079737833263,4029.1029099073344,4490.721873933761,4298.474316872311,4279.964320558163,4096.195855010089,3568.7579676290907,3625.1001557926234,3627.3754366284747,3471.53962286871,3603.6589235080505,3692.0429570001165
1521,4101.303999551394,3700.608813411447,3681.391107884336,4022.806652033102,4484.527748964147,4291.754632784112,4273.399799481517,4089.887618329505,3562.952848395995,3619.319166768782,3622.016260098693,3466.003946134924,3598.938803757182,3686.036956269603
1522,4095.1166202110885,3694.359137841007,3674.983682776158,4016.622424121301,4478.348174206278,4285.294667255938,4266.834922939509,4084.102186716134,3557.009180475617,3613.6449560875308,3616.709758184168,3460.3869869891423,3593.6988673604005,3679.917691950442
1523,4089.5130109939105,3687.9547571162107,3668.8300014754145,4010.3097115332907,4471.737702738737,4278.937383522019,4260.882864454474,4079.0402988663645,3551.7194716642375,3608.476364861682,3610.497425093282,3454.488790049055,3587.413309045091,3673.6078155692126
1524,4083.518400028089,3681.5664731234283,3663.1916286728006,4003.6508204097113,4464.932306662007,4271.962070145209,4254.633982213069,4072.5589924358387,3546.129847446893,3601.857586750048,3603.1985138135797,3448.018691976984,3581.21373937894,3667.481730917451
1525,4077.362812677216,3675.360385618563,3656.964137337001,3997.175869168569,4458.501769068592,4265.188705920257,4247.770214891449,4065.9641117972956,3540.170861684053,3595.018699791508,3597.1397420976455,3442.011697593199,3575.5281899240163,3661.6642157596316
1526,4070.1283856259365,3669.7735800605474,3650.7319903858875,3989.967971227057,4451.808526773898,4257.98098452571,4240.411677973289,4059.749197779229,3533.835841997929,3588.0855237727833,3591.163377693638,3435.4314361583647,3569.5550815561924,3655.8512236599254
1527,4062.840144143693,3663.4606653792557,3644.3606485015416,3982.9483569250506,4445.5643762577865,4251.120015732003,4233.029113770253,4053.610830078075,3527.0673277657543,3582.1724994799556,3585.207881223099,3429.476677359724,3563.9236246519235,3649.660901008434
1528,4057.3426568462,3657.372051942048,3638.4241627920032,3977.380614890435,4439.20406779711,4245.136397074473,4227.52306475975,4047.9164835294755,3521.762840117561,3579.448957471601,3579.737070330662,3424.1198185281974,3558.559099591537,3643.9240373321327
1529,4051.6678850442395,3651.374471396376,3632.8541020898965,3971.028144187883,4432.509608038372,4238.562553893854,4221.72133168035,4042.5117504933505,3516.426060471284,3573.235761390692,3573.4053438578926,3418.204274018589,3552.7408032099192,3637.9660213626225
1530,4045.582180413914,3645.053155730267,3626.783616559427,3963.8745831699603,4425.189172326035,4231.341116417029,4215.469987082129,4035.8385476380936,3509.8771252725487,3566.0194087792493,3566.337325444193,3411.761806682925,3546.258811804066,3631.2316855346057
