time (min),male1,male2,male3,male4,male5,male6
249,12394.968043958934,13416.704738315479,12580.355531990908,12400.430515511276,12038.546330757634,13266.190679349542
250,12389.029175330592,13417.595966826193,12577.544402117153,12399.962614454513,12034.614928599189,13268.076037944471
251,12384.165644806348,13415.828441372794,12575.512711569787,12396.644287628069,12028.78654284368,13267.157168177113
252,12376.288731125574,13413.277532459317,12572.39808337551,12396.814275706063,12024.514859723806,13266.661115625286
253,12374.403491030596,13409.531155716079,12569.86106156167,12395.7646443111,12023.235543884626,13259.590128569831
254,12376.785143748932,13402.660455583216,12568.318028874337,12385.141468076214,12021.353390050279,13253.425569272715
255,12375.875136169356,13399.059328474945,12563.861023868978,12380.966380662521,12018.007453392063,13252.126913392793
256,12370.32479190909,13398.644115770348,12558.893749286786,12377.954517989654,12013.456542754257,13253.019012214945
257,12363.531480762731,13397.427736313828,12559.652964223023,12376.187482490861,12009.113042593373,13252.479815550989
258,12357.921999586375,13395.883161184209,12555.047613551367,12378.911867904262,12006.445650206448,13249.57736014956
259,12359.396277951628,13389.839033804996,12550.880611181781,12373.567222502712,12003.70081299303,13240.43099950221
260,12357.627052959246,13385.99700449354,12547.614794235582,12366.901871686661,12003.326921148217,13235.62848207895
261,12354.295553136211,13383.685172751926,12542.777115593904,12366.827202273034,11999.34939131663,13238.164022551875
262,12349.364011059914,13382.753086586363,12541.47071339038,12359.250494570171,11994.372330444894,13240.106386578369
263,12341.890648709328,13379.245785820463,12538.809388954522,12358.935472452546,11990.720096827765,13235.43288030479
264,12338.272464703838,13376.348888704259,12536.009912181955,12360.947264891935,11988.401986396477,13229.898718053599
265,12340.075560383704,13371.051313030495,12533.24706160431,12349.917511266098,11986.116239713976,13223.699469976564
266,12340.517630907885,13366.935819929628,12528.310925229021,12344.063562560237,11983.926142369139,13219.323674431344
267,12335.489477516046,13364.21614104055,12523.624021525884,12341.860893300123,11979.021664811286,13222.710477618088
268,12330.055083660956,13363.144691712245,12521.613664645589,12335.90667465791,11973.641412290144,13222.843464432492
269,12323.136393276112,13361.898915144897,12520.615085483038,12338.802716734383,11970.876200206776,13218.260314936702
270,12321.989496221455,13358.119124340614,12517.869088697908,12338.697767044217,11968.545587623395,13210.704479864986
271,12321.36463962712,13353.278740678701,12512.632366341584,12329.394580125074,11966.734536845772,13204.279043473007
272,12318.988774062223,13349.292555931635,12507.76270907422,12326.454528310778,11962.93339906085,13207.004606892582
273,12313.41386784551,13348.21063809086,12503.953710050144,12320.400320505372,11958.401593231321,13208.98676061172
274,12308.329328909474,13344.327772867653,12503.073248091701,12318.698081738456,11953.253929091732,13205.367877795323
275,12303.877314270376,13341.413906846574,12501.450826627844,12321.670810828626,11951.493809647585,13199.166657458407
276,12302.624162047012,13338.777209530357,12497.793367733788,12314.542116783154,11949.361632542608,13191.369122888394
277,12301.847790985323,13334.097989685675,12492.280081941602,12308.025014459225,11947.211866228537,13187.946571392777
